"avg_delivery_delay_days","avg_review_score"
"14.30","5.0"
"9.78","4.0"
"8.36","5.0"
"31.49","5.0"
"13.15","5.0"
"27.03","1.0"
"6.43","4.0"
"49.17","1.0"
"10.06","5.0"
"10.81","5.0"
"10.46","4.0"
"12.39","5.0"
"1.72","1.0"
"2.21","4.0"
"32.38","4.0"
"10.12","5.0"
"4.28","5.0"
"11.32","5.0"
"11.61","5.0"
"9.12","4.0"
"3.05","5.0"
"22.35","1.0"
"4.51","5.0"
"12.00","4.0"
"17.82","5.0"
"7.75","5.0"
"33.09","1.0"
"8.24","4.0"
"13.05","4.0"
"18.57","4.0"
"19.09","5.0"
"19.31","4.0"
"13.17","5.0"
"13.49","5.0"
"12.78","3.0"
"5.27","5.0"
"5.21","5.0"
"9.20","5.0"
"4.33","5.0"
"5.75","5.0"
"14.27","4.0"
"13.79","5.0"
"6.23","5.0"
"17.41","3.0"
"17.75","5.0"
"23.83","5.0"
"16.30","4.0"
"3.01","1.0"
"17.39","4.0"
"15.34","4.0"
"25.64","5.0"
"8.08","5.0"
"20.33","5.0"
"3.94","5.0"
"12.96","5.0"
"18.02","5.0"
"6.93","4.0"
"15.92","3.0"
"23.58","5.0"
"2.52","3.0"
"37.16","1.0"
"20.41","5.0"
"3.40","4.0"
"13.05","4.0"
"7.50","5.0"
"28.27","5.0"
"9.88","4.0"
"21.05","5.0"
"3.92","5.0"
"10.71","5.0"
"15.96","5.0"
"11.72","5.0"
"3.73","5.0"
"9.84","5.0"
"8.29","5.0"
"7.16","5.0"
"9.17","5.0"
"15.47","4.0"
"25.82","5.0"
"21.49","5.0"
"3.87","5.0"
"35.03","2.0"
"32.09","1.0"
"15.88","5.0"
"19.42","3.0"
"4.17","5.0"
"11.17","5.0"
"11.21","4.0"
"4.07","5.0"
"15.24","5.0"
"11.30","4.0"
"5.03","5.0"
"6.86","1.0"
"11.06","5.0"
"9.22","5.0"
"49.36","1.0"
"11.39","5.0"
"10.85","5.0"
"12.36","5.0"
"2.94","4.0"
"12.48","5.0"
"12.17","5.0"
"15.48","5.0"
"5.12","5.0"
"11.27","5.0"
"5.74","5.0"
"16.05","4.0"
"7.78","1.0"
"4.60","5.0"
"8.39","3.0"
"29.26","2.0"
"2.19","5.0"
"6.39","5.0"
"23.18","2.0"
"2.08","5.0"
"2.29","2.0"
"4.45","5.0"
"6.20","5.0"
"17.17","5.0"
"17.05","3.0"
"4.93","5.0"
"4.23","4.0"
"20.07","5.0"
"4.03","5.0"
"17.25","3.0"
"14.94","5.0"
"7.49","4.5"
"7.03","5.0"
"9.13","4.0"
"9.13","5.0"
"10.79","5.0"
"7.93","5.0"
"9.96","1.0"
"15.79","4.0"
"13.92","5.0"
"11.80","5.0"
"13.51","1.0"
"2.85","5.0"
"11.41","4.0"
"1.99","5.0"
"9.63","5.0"
"4.05","4.0"
"33.96","5.0"
"9.04","5.0"
"6.30","5.0"
"10.95","5.0"
"7.32","5.0"
"8.21","5.0"
"21.35","5.0"
"19.14","4.0"
"10.05","5.0"
"7.26","5.0"
"5.26","5.0"
"32.13","1.0"
"13.35","3.0"
"6.59","2.0"
"4.04","5.0"
"12.13","5.0"
"7.94","5.0"
"4.36","4.0"
"5.51","4.0"
"8.56","5.0"
"12.80","1.0"
"26.24","5.0"
"7.24","3.0"
"10.05","5.0"
"13.03","5.0"
"11.24","5.0"
"10.47","5.0"
"7.28","5.0"
"8.04","5.0"
"7.23","5.0"
"9.41","4.0"
"18.20","5.0"
"2.33","5.0"
"12.33","5.0"
"4.99","4.0"
"4.01","4.0"
"9.81","5.0"
"17.16","5.0"
"19.45","4.0"
"7.85","5.0"
"2.06","5.0"
"15.08","5.0"
"13.03","4.0"
"12.16","3.0"
"13.76","3.0"
"5.60","5.0"
"9.76","5.0"
"5.81","5.0"
"10.93","5.0"
"12.40","5.0"
"32.09","1.0"
"7.94","4.0"
"8.14","5.0"
"3.10","1.0"
"17.98","5.0"
"5.00","1.0"
"16.54","5.0"
"7.10","5.0"
"32.72","1.0"
"10.06","4.0"
"6.91","1.0"
"7.32","2.0"
"12.68","5.0"
"5.76","5.0"
"10.82","5.0"
"51.92","1.0"
"9.84","3.0"
"15.90","5.0"
"4.99","4.0"
"8.96","5.0"
"23.14","3.0"
"9.15","4.0"
"5.90","5.0"
"17.01","5.0"
"12.97","1.0"
"9.31","5.0"
"4.16","4.0"
"5.46","5.0"
"5.69","3.0"
"7.36","5.0"
"14.08","3.0"
"8.11","3.0"
"19.57","3.0"
"15.18","5.0"
"7.04","5.0"
"20.80","5.0"
"14.31","1.0"
"6.50","4.0"
"8.33","1.0"
"10.15","5.0"
"8.33","5.0"
"7.40","5.0"
"17.04","5.0"
"9.04","5.0"
"12.99","5.0"
"20.53","4.0"
"4.89","1.0"
"19.92","5.0"
"16.13","4.0"
"7.01","3.0"
"14.96","5.0"
"9.90","5.0"
"9.71","3.0"
"11.25","4.0"
"4.84","4.0"
"2.65","5.0"
"1.60","5.0"
"6.33","4.0"
"5.05","4.0"
"16.26","1.0"
"7.24","5.0"
"15.76","5.0"
"4.21","5.0"
"20.37","3.0"
"8.82","5.0"
"27.52","5.0"
"17.83","5.0"
"4.43","2.0"
"10.59","1.0"
"2.18","5.0"
"13.62","5.0"
"20.09","5.0"
"10.75","5.0"
"8.34","5.0"
"3.39","5.0"
"6.66","5.0"
"10.96","1.0"
"11.63","5.0"
"9.01","3.0"
"17.14","5.0"
"11.33","5.0"
"26.67","4.0"
"3.05","5.0"
"4.19","1.0"
"17.44","5.0"
"19.88","5.0"
"8.21","5.0"
"5.07","1.0"
"14.16","5.0"
"11.97","5.0"
"7.98","5.0"
"17.78","1.0"
"7.31","5.0"
"11.09","4.0"
"7.85","5.0"
"5.59","5.0"
"4.80","4.0"
"23.92","4.0"
"17.91","5.0"
"5.69","1.0"
"6.97","4.0"
"12.76","5.0"
"4.82","5.0"
"10.09","5.0"
"19.84","4.0"
"26.92","4.0"
"7.80","5.0"
"26.21","3.0"
"12.21","5.0"
"5.99","5.0"
"16.54","4.0"
"15.07","5.0"
"2.98","5.0"
"8.22","5.0"
"5.75","1.0"
"8.05","5.0"
"9.05","4.0"
"17.07","3.0"
"20.14","5.0"
"166.14","1.0"
"7.02","5.0"
"14.95","5.0"
"3.15","1.0"
"22.45","1.0"
"5.17","5.0"
"12.81","5.0"
"5.51","5.0"
"6.09","5.0"
"13.04","5.0"
"21.01","5.0"
"6.71","3.0"
"8.17","5.0"
"4.05","5.0"
"2.22","5.0"
"7.99","5.0"
"5.94","5.0"
"14.22","5.0"
"21.93","2.0"
"10.94","4.0"
"9.92","3.0"
"25.50","4.0"
"9.85","4.0"
"8.93","5.0"
"8.11","5.0"
"4.89","5.0"
"5.74","5.0"
"15.50","5.0"
"4.26","5.0"
"17.01","4.0"
"14.01","5.0"
"13.44","5.0"
"18.02","1.0"
"18.78","5.0"
"11.59","5.0"
"11.32","5.0"
"3.94","4.0"
"22.13","3.0"
"12.88","3.0"
"11.56","5.0"
"8.13","4.0"
"18.26","4.0"
"6.11","4.0"
"5.07","5.0"
"5.12","5.0"
"4.23","5.0"
"11.14","5.0"
"8.18","5.0"
"5.83","5.0"
"25.61","4.0"
"10.91","5.0"
"15.52","4.0"
"18.50","3.0"
"7.05","1.0"
"13.60","5.0"
