"freight_cost","avg_review_score"
"54.83","5.00"
"126.19","5.00"
"1.57","5.00"
"134.17","5.00"
"48.58","5.00"
"42.89","5.00"
"123.59","5.00"
"43.36","5.00"
"77.10","5.00"
"30.42","5.00"
"83.10","5.00"
"88.02","5.00"
"83.78","5.00"
"65.35","5.00"
"87.74","5.00"
"50.03","5.00"
"102.46","5.00"
"30.33","5.00"
"55.80","5.00"
"124.39","5.00"
"62.74","5.00"
"88.04","5.00"
"74.27","5.00"
"45.10","5.00"
"58.37","5.00"
"43.76","5.00"
"56.68","5.00"
"31.17","5.00"
"59.07","5.00"
"89.55","5.00"
"68.53","5.00"
"101.70","5.00"
"44.93","5.00"
"28.55","5.00"
"66.37","5.00"
"42.97","5.00"
"135.62","5.00"
"102.13","5.00"
"78.63","5.00"
"107.36","5.00"
"42.86","5.00"
"65.03","5.00"
"42.10","5.00"
"71.41","5.00"
"93.75","5.00"
"47.99","5.00"
"42.33","5.00"
"33.73","5.00"
"47.49","5.00"
"52.05","5.00"
"84.61","5.00"
"36.26","5.00"
"165.15","5.00"
"6.45","5.00"
"41.09","5.00"
"193.78","5.00"
"6.68","5.00"
"55.00","5.00"
"57.12","5.00"
"60.22","5.00"
"100.14","5.00"
"245.75","5.00"
"103.89","5.00"
"98.37","5.00"
"79.87","5.00"
"45.35","5.00"
"5.16","5.00"
"58.75","5.00"
"124.89","5.00"
"3.57","5.00"
"49.78","5.00"
"4.58","5.00"
"83.79","5.00"
"86.33","5.00"
"69.81","5.00"
"30.34","5.00"
"59.87","5.00"
"37.33","5.00"
"52.49","5.00"
"66.84","5.00"
"69.62","5.00"
"60.62","5.00"
"3.70","5.00"
"46.47","5.00"
"43.52","5.00"
"68.38","5.00"
"67.03","5.00"
"49.89","5.00"
"41.98","5.00"
"31.75","5.00"
"59.35","5.00"
"64.77","5.00"
"47.73","5.00"
"47.32","5.00"
"132.76","5.00"
"50.56","5.00"
"117.99","5.00"
"51.26","5.00"
"117.44","5.00"
"61.20","5.00"
"52.64","5.00"
"58.13","5.00"
"57.38","5.00"
"53.24","5.00"
"47.91","5.00"
"6.69","5.00"
"58.84","5.00"
"55.96","5.00"
"65.37","5.00"
"57.61","5.00"
"10.27","5.00"
"32.18","5.00"
"196.94","5.00"
"89.85","5.00"
